hotel,address,price,score,avg review,reviews count,lodgingtype,url,deals
The KLCC Suite Platinum,"Kuala Lumpur City-Centre, Kuala Lumpur","MYR 1,119","9.9
Scored 9.9",Exceptional,14,Deluxe One-Bedroom Apartment with City View,https://www.booking.com/hotel/my/the-klcc-suite-platinum-kuala-lumpur.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810469&all_sr_blocks=1219473703_394155615_2_0_0&highlighted_blocks=1219473703_394155615_2_0_0&matching_block_id=1219473703_394155615_2_0_0&sr_pri_blocks=1219473703_394155615_2_0_0__111860&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
Axon Infinity Pool KL,"Bukit Bintang, Kuala Lumpur",MYR 560,"9.9
Scored 9.9",Exceptional,16,Deluxe Studio,https://www.booking.com/hotel/my/infinity-pool-kl.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810469&all_sr_blocks=1201246401_393090523_2_0_0&highlighted_blocks=1201246401_393090523_2_0_0&matching_block_id=1201246401_393090523_2_0_0&sr_pri_blocks=1201246401_393090523_2_0_0__55990&from_sustainable_property_sr=1&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
Imperial KLCC Residences By Perkasa Ikon,"Bukit Bintang, Kuala Lumpur","MYR 1,691","9.9
Scored 9.9",Exceptional,8,Two-Bedroom Apartment,https://www.booking.com/hotel/my/imperial-service-apartment-klcc-by-perkasa.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810469&all_sr_blocks=1212210901_393441893_0_2_0&highlighted_blocks=1212210901_393441893_0_2_0&matching_block_id=1212210901_393441893_0_2_0&sr_pri_blocks=1212210901_393441893_0_2_0__169065&from=searchresults,No deals available
Crystal Suite at Eaton KLCC,"Bukit Bintang, Kuala Lumpur","MYR 1,438","9.7
Scored 9.7",Exceptional,49,One-Bedroom Apartment,https://www.booking.com/hotel/my/klcc-suite-at-eaton.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810469&all_sr_blocks=1182026601_390629824_2_0_0&highlighted_blocks=1182026601_390629824_2_0_0&matching_block_id=1182026601_390629824_2_0_0&sr_pri_blocks=1182026601_390629824_2_0_0__143820&from_sustainable_property_sr=1&from=searchresults,No deals available
Reizz Residence By Kuala Lumpur Suites,"Ampang, Kuala Lumpur",MYR 594,"10
Scored 10",Exceptional,5,Two-Bedroom Deluxe Apartment,https://www.booking.com/hotel/my/reizz-residence-by-kuala-lumpur-suites.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810469&all_sr_blocks=1223328803_394484183_4_0_0&highlighted_blocks=1223328803_394484183_4_0_0&matching_block_id=1223328803_394484183_4_0_0&sr_pri_blocks=1223328803_394484183_4_0_0__59360&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
Regalia luxury homes by infinity pool,"Chow Kit, Kuala Lumpur",MYR 616,"9.8
Scored 9.8",Exceptional,4,Standard Studio,https://www.booking.com/hotel/my/regalia-stylish-luxury-home.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810469&all_sr_blocks=1073083301_386982376_2_0_0&highlighted_blocks=1073083301_386982376_2_0_0&matching_block_id=1073083301_386982376_2_0_0&sr_pri_blocks=1073083301_386982376_2_0_0__61600&from_sustainable_property_sr=1&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
Axon Suite Premium KL,"Bukit Bintang, Kuala Lumpur",MYR 593,"10
Scored 10",Exceptional,4,Standard Suite,https://www.booking.com/hotel/my/suite-at-premium.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810469&all_sr_blocks=1209785301_394460421_0_0_0&highlighted_blocks=1209785301_394460421_0_0_0&matching_block_id=1209785301_394460421_0_0_0&sr_pri_blocks=1209785301_394460421_0_0_0__59290&from_sustainable_property_sr=1&from=searchresults,Limited-time Deal. You’re getting a reduced rate because this property has a limited-time deal running. These deals only last up to 48 hours..
Unique Apartment Times Square KL,"Bukit Bintang, Kuala Lumpur",MYR 402,"10
Scored 10",Exceptional,4,Apartment with City View,https://www.booking.com/hotel/my/unique-apartment-times-square-kl.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810469&all_sr_blocks=1223899402_394515702_2_0_0&highlighted_blocks=1223899402_394515702_2_0_0&matching_block_id=1223899402_394515702_2_0_0&sr_pri_blocks=1223899402_394515702_2_0_0__40170&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
The MANOR Serviced Suites KLCC,"Bukit Bintang, Kuala Lumpur",MYR 950,"10
Scored 10",Exceptional,3,Suite with Balcony,https://www.booking.com/hotel/my/the-manor-serviced-suites-klcc.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810469&all_sr_blocks=1222940203_394425626_4_0_0&highlighted_blocks=1222940203_394425626_4_0_0&matching_block_id=1222940203_394425626_4_0_0&sr_pri_blocks=1222940203_394425626_4_0_0__94950&from_sustainable_property_sr=1&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
Opus suite Kuala Lampur By Home Stay,"Bukit Bintang, Kuala Lumpur",MYR 539,"10
Scored 10",Exceptional,3,One-Bedroom Apartment,https://www.booking.com/hotel/my/opus-suite-kuala-lampur-by-home-stay.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810469&all_sr_blocks=1193099702_394141427_0_0_0&highlighted_blocks=1193099702_394141427_0_0_0&matching_block_id=1193099702_394141427_0_0_0&sr_pri_blocks=1193099702_394141427_0_0_0__53865&from_sustainable_property_sr=1&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
Lovely Family Suites at Razak City Residence KL by HCK,"Bukit Bintang, Kuala Lumpur",MYR 672,"10
Scored 10",Exceptional,3,Two-Bedroom Suite,https://www.booking.com/hotel/my/family-lovely-at-razak-city-by-hck.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810469&all_sr_blocks=1140668001_386920913_8_0_0&highlighted_blocks=1140668001_386920913_8_0_0&matching_block_id=1140668001_386920913_8_0_0&sr_pri_blocks=1140668001_386920913_8_0_0__67200&from_sustainable_property_sr=1&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
188 Suites City Center,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 878,"9.7
Scored 9.7",Exceptional,3,One-Bedroom Apartment,https://www.booking.com/hotel/my/bnb-for-you.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810469&all_sr_blocks=1177062201_390229619_2_0_0&highlighted_blocks=1177062201_390229619_2_0_0&matching_block_id=1177062201_390229619_2_0_0&sr_pri_blocks=1177062201_390229619_2_0_0__87840&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
Dorsett Residences Sri Hartamas (Kuala Lumpur),"Sri Hartamas, Kuala Lumpur",MYR 476,"10
Scored 10",Exceptional,3,Superior Apartment,https://www.booking.com/hotel/my/dorsett-residences-sri-hartamas-kuala-lumpur-kuala-lumpur.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=27&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=1051011702_377340230_2_0_0&highlighted_blocks=1051011702_377340230_2_0_0&matching_block_id=1051011702_377340230_2_0_0&sr_pri_blocks=1051011702_377340230_2_0_0__47565&from_sustainable_property_sr=1&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
AGILE Bukit Bintang TRX Serviced Apartment,"Bukit Bintang, Kuala Lumpur",MYR 525,"10
Scored 10",Exceptional,4,Superior Suite,https://www.booking.com/hotel/my/agile-bukit-bintang-trx-serviced-suites-apartment.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=28&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=1223677603_394497632_4_0_0&highlighted_blocks=1223677603_394497632_4_0_0&matching_block_id=1223677603_394497632_4_0_0&sr_pri_blocks=1223677603_394497632_4_0_0__52450&from_sustainable_property_sr=1&from=searchresults,Getaway Deal. You're getting a reduced rate because this property is offering a discount on stays between 29 March–30 September 2024..
Netizen Cozy Suite By GUESTONIC,Kuala Lumpur,MYR 280,"10
Scored 10",Exceptional,3,Studio with Balcony,https://www.booking.com/hotel/my/the-netizen-soho-amp-serviced-apartment.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=29&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=1045477501_376875795_2_0_0&highlighted_blocks=1045477501_376875795_2_0_0&matching_block_id=1045477501_376875795_2_0_0&sr_pri_blocks=1045477501_376875795_2_0_0__28048&from=searchresults,No deals available
Standard Suite AT Times Square,"Bukit Bintang, Kuala Lumpur",MYR 500,"10
Scored 10",Exceptional,4,One-Bedroom Apartment,https://www.booking.com/hotel/my/standard-suite-at-times-square.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=30&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=1208637601_393037417_2_0_0&highlighted_blocks=1208637601_393037417_2_0_0&matching_block_id=1208637601_393037417_2_0_0&sr_pri_blocks=1208637601_393037417_2_0_0__50000&from=searchresults,No deals available
Times Premier Suite At Times Square,"Bukit Bintang, Kuala Lumpur",MYR 605,"10
Scored 10",Exceptional,3,Deluxe Apartment,https://www.booking.com/hotel/my/sk-services-suite-at-times-square.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=31&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=1072407702_384830951_3_0_0&highlighted_blocks=1072407702_384830951_3_0_0&matching_block_id=1072407702_384830951_3_0_0&sr_pri_blocks=1072407702_384830951_3_0_0__60500&from=searchresults,No deals available
Times Square Suites KL,"Bukit Bintang, Kuala Lumpur",MYR 538,"10
Scored 10",Exceptional,4,One-Bedroom Apartment,https://www.booking.com/hotel/my/times-square-suites-kl.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKEBiAEBmAExuAEXyAEM2AEB6AEB-AECiAIBqAIDuAKX68izBsACAdICJGMxM2Q0NjE0LWRhZDEtNDY3Ni1iOThjLTNkNGEzZGFlMjg2ZdgCBeACAQ&sid=f9d0ad33086a56b2cc3cfecfe9bd03c7&aid=304142&ucfs=1&arphpl=1&checkin=2024-06-21&checkout=2024-06-23&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=32&sr_order=popularity&srpvid=0d896bc7a9bc0080&srepoch=1718810455&all_sr_blocks=786568501_338187797_2_2_0&highlighted_blocks=786568501_338187797_2_2_0&matching_block_id=786568501_338187797_2_2_0&sr_pri_blocks=786568501_338187797_2_2_0__53820&from=searchresults,No deals available
